participant,name,rollno,age,lefrig,prpcogsciexp,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.f2503f72-241c-40e3-b38e-2209b21bfca8.txt,5807,8764,17184,3897,"",0,2020-11-11-06-19,"",""
s.851c0921-7340-4b3a-a27c-d25e1a759f27.txt,9635,10272,5577,4086,"",0,2020-11-13-08-03,"",""
s.bf7d249b-ee84-4bdc-9ff4-dffd4ae95aa4.txt,5823,5583,2740,1977,"",0,2020-10-20-19-29,"",""
s.0c6887ae-a739-4de3-b9b6-041e45b67b71.txt,5984,5846,4603,2544,"",0,2020-10-20-20-15,"",""
s.09db6d06-c4c1-4b29-8cd7-2c98214c9260.txt,4387,2722,1821,2391,"",0,2020-10-05-09-10,2020-10-05-09-16,6
s.5d307c60-8899-45fd-b937-fe75fc906a20.txt,9254,5081,3408,3150,"",0,2020-11-14-10-22,"",""
s.3fce1dca-97a6-4362-9067-f1403f0e5dec.txt,8829,7602,3782,3643,"",0,2020-10-04-19-57,"",""
s.c21375fc-0f95-4bc4-8565-a834e95a40b9.txt,10901,9504,5185,6232,"",0,2020-11-03-07-12,2020-11-03-07-24,12
s.f07b7b80-3eaf-4226-add9-a48b5c42dfb6.txt,6263,8995,2996,3081,"",0,2020-10-11-12-23,2020-10-11-12-32,9
s.53badbfe-8b59-49bd-864c-67bf940c616e.txt,6136,4734,4451,2862,"",0,2020-10-20-19-55,"",""
s.925560f1-5ee1-49d7-a776-4d019c8676fd.txt,15877,6859,3060,4041,"",0,2020-10-05-10-15,2020-10-05-10-24,9
s.367ef1c0-3fb8-40ba-8c7a-8201c81b2369.txt,13370,6663,3849,3424,"",0,2020-10-05-13-06,2020-10-05-13-22,16
s.ed719836-50bd-416b-ae14-3cc40cb10026.txt,9381,9607,6634,5867,"",0,2020-11-11-11-10,2020-11-11-11-19,9
s.c67dab81-a15b-45d4-a778-4eeeb2774c6f.txt,"","","","","",0,2020-11-14-08-21,"",""
s.62bdff3c-3db5-4962-92a6-7ac256572d11.txt,6472,4766,4894,7769,"",0,2020-11-13-11-52,2020-11-13-12-07,15
s.3e69a9e3-7633-449f-a175-de24056df2de.txt,6168,5235,4927,3925,"",0,2020-11-14-17-51,"",""
s.478261fc-3cdd-4cca-b331-572f9db8443a.txt,10620,10220,2782,1770,"",0,2020-11-10-20-57,2020-11-10-21-09,12
s.be6c883e-031e-4267-aa66-139e0469cfce.txt,8068,787,531,"","",0,2020-10-07-08-47,"",""
s.75f33130-d47d-4174-bbcb-a48d7d94564c.txt,4969,4645,4420,2559,"",0,2020-11-09-09-04,"",""
s.0c1644fb-68fa-4226-bdda-7979bc24c5f3.txt,4824,7019,4107,2581,"",0,2020-10-20-20-19,2020-10-20-20-29,10
s.7d163b4b-cf37-4de1-a0e4-b36ae4ee625e.txt,2125,840,1015,3817,"",0,2020-10-04-20-06,"",""
s.b5b91517-2413-4688-84a5-d5095a18b73a.txt,"","","","","",0,2020-10-19-15-56,"",""
s.bbf2648f-5c4a-4c5e-a8f8-1264a14a40b4.txt,9318,10155,3300,2647,"",0,2020-10-11-14-02,"",""
s.a0d43838-2b8f-4957-9b85-ec8cb69828a2.txt,7538,5379,6516,5602,"",0,2020-11-10-20-23,2020-11-10-20-34,11
s.f179d6ad-180a-471d-aae9-0ff3ad519477.txt,5462,6975,3019,3013,"",0,2020-11-03-04-25,"",""
s.26f9936a-41d9-45ae-9fff-08b928f51be2.txt,5349,849,1533,3831,"",0,2020-11-03-09-34,"",""
s.ede98bce-8e2a-4e07-a79a-77ed5a6f2710.txt,6197,2060,1103,2274,"",0,2020-10-04-19-40,"",""
s.e47ebce2-b867-4ad7-8043-a6616d4bbe41.txt,6842,6747,4619,5368,"",0,2020-11-04-10-48,2020-11-04-10-59,11
s.40c22250-7a41-433c-93ca-f75654facf70.txt,11169,10643,43128,3701,"",0,2020-10-20-07-12,2020-10-20-07-27,15
s.f6725415-40c4-4346-bbf4-63c51f6930b0.txt,"","","","","",0,2020-11-13-09-00,"",""
s.15144b3c-aba9-42ff-825d-4fccbd48d62d.txt,4744,5070,3316,3611,"",0,2020-11-14-04-40,2020-11-14-04-48,8
